ID,TARGET
2,0.04069029
5,0.053083993
6,0.0041471357
7,0.016211897
9,0.004973595
11,0.2137523
12,0.039845396
15,0.1618413
16,0.04741174
17,0.0200843
19,0.024465118
21,0.008144164
22,0.017231742
24,0.01341757
27,0.009867973
28,0.028086266
30,0.120335035
33,0.006041406
35,0.018561956
37,0.021638151
38,0.016723802
40,0.17610009
41,0.026544234
44,0.010561895
46,0.058672097
47,0.0113368295
48,0.0064094523
50,0.010120275
52,0.18494654
53,0.010218782
55,0.03296923
57,0.005386529
58,0.009794928
59,0.018958116
62,0.021802884
63,0.014111802
64,0.019319883
65,0.013063892
67,0.018552434
69,0.03987509
70,0.0059179887
71,0.044778276
72,0.013191997
73,0.004548963
76,0.0054643853
78,0.0052913306
79,0.04739283
81,0.0052927868
85,0.012624872
86,0.006673905
89,0.030057376
94,0.12966432
96,0.0074344533
97,0.022490617
98,0.005064196
99,0.027506683
100,0.203094
103,0.08496065
104,0.010041499
108,0.009596432
110,0.006081118
112,0.021721104
114,0.047088422
116,0.022835027
117,0.017538825
119,0.010359735
120,0.0071241967
121,0.003915796
123,0.023673188
124,0.027165677
126,0.0043723537
128,0.0150735695
129,0.072424084
133,0.044011567
138,0.017586043
147,0.044418518
149,0.024847994
158,0.0057673263
160,0.011255514
164,0.030845072
167,0.07991994
168,0.014412947
174,0.01333182
181,0.025817849
185,0.030669715
187,0.010862677
189,0.013866568
190,0.041004006
194,0.0113854455
197,0.04868151
198,0.02641731
201,0.049261257
205,0.0114366375
208,0.118265785
211,0.013557475
216,0.029677752
219,0.058182262
223,0.008038289
224,0.079493344
226,0.019233473
229,0.0105602145
230,0.013065804
237,0.014000104
238,0.028966885
240,0.105823845
243,0.0052176104
245,0.1011808
246,0.19055967
247,0.0072435336
248,0.011196298
249,0.006041406
250,0.24531904
251,0.0043723537
255,0.11429825
256,0.025536766
257,0.06437961
260,0.15529111
261,0.008913553
263,0.20218621
264,0.16159822
267,0.008146213
268,0.016483128
272,0.0092306575
274,0.009635868
275,0.0100662615
277,0.25504234
278,0.23944345
280,0.006201242
281,0.041458417
282,0.103265375
283,0.012795602
284,0.08907244
286,0.023923812
290,0.025516935
291,0.02685216
293,0.037107777
295,0.096753955
297,0.003779887
298,0.09409874
300,0.0064402656
304,0.0055600926
305,0.0063211266
308,0.006170416
309,0.010125732
310,0.009449568
312,0.027102808
313,0.15724091
315,0.009481293
317,0.026748085
318,0.03231165
321,0.011409843
323,0.07101294
325,0.0078664245
326,0.018958116
327,0.034537464
328,0.07126008
329,0.024108082
330,0.0057574916
331,0.012202131
334,0.038038615
335,0.010756072
336,0.049383324
337,0.009046288
338,0.04508837
339,0.019233473
341,0.23200165
343,0.015649127
346,0.006019578
348,0.0064064157
350,0.10849115
351,0.0046402183
352,0.025526054
357,0.054762408
358,0.013675809
360,0.010994915
361,0.019157177
364,0.020458538
365,0.029903973
366,0.017490078
367,0.0127556035
368,0.009276012
370,0.006417224
372,0.004724861
376,0.003852852
377,0.007861265
379,0.025155727
380,0.017122963
381,0.07351135
385,0.012715493
386,0.030597309
389,0.045063615
391,0.039226256
392,0.0069881864
393,0.015389968
395,0.025357267
396,0.011488481
397,0.004566658
398,0.021365628
399,0.0491404
400,0.011876612
401,0.014759023
403,0.0075554424
405,0.026907897
406,0.02103073
409,0.00957214
411,0.011562405
413,0.0060451953
418,0.005158742
419,0.020421894
422,0.025526054
424,0.24357007
425,0.041469283
427,0.0074344533
430,0.00413512
431,0.019319372
434,0.025872584
435,0.026875654
437,0.078248575
438,0.0039342484
439,0.09964205
442,0.014111802
446,0.02330629
450,0.040211882
451,0.01511751
452,0.011672732
454,0.004048064
455,0.007061876
463,0.020299526
464,0.014745695
465,0.0070483536
467,0.15073717
468,0.04215692
470,0.010146384
472,0.21527323
473,0.025379147
475,0.008588206
476,0.008560532
479,0.019203264
481,0.005333984
483,0.030180136
484,0.018015519
486,0.03297664
487,0.005352504
491,0.021626761
494,0.015508635
495,0.0051724133
497,0.018641585
498,0.010433658
499,0.014925555
503,0.03198603
504,0.017022036
505,0.015840953
506,0.007299525
507,0.0123840235
508,0.11322023
509,0.036941033
510,0.0057429965
511,0.0146349445
512,0.019297447
516,0.0060864957
518,0.034022562
519,0.0068056975
520,0.011210163
521,0.0063427133
522,0.0060307235
524,0.09256959
525,0.0073275873
526,0.0055305758
528,0.019104743
529,0.025150593
531,0.07710007
532,0.22376634
534,0.078109145
536,0.050444633
539,0.09854048
540,0.01741207
541,0.005526114
542,0.091618985
545,0.010824487
546,0.006213744
552,0.023035891
556,0.004109719
557,0.00664223
559,0.016052274
562,0.018374028
563,0.011390035
565,0.022729192
569,0.0049276357
570,0.08484919
574,0.02087203
575,0.020799661
585,0.011422204
589,0.011934945
590,0.0148799475
592,0.021026826
593,0.030851694
594,0.013589013
